# --------------------------------------------------------------------------
# A basic set of bright stars -- taken from the xephem program.
# 
# Based on the 5th Revised edition of the Yale Bright Star Catalog, 1991, from
# ftp://adc.gsfc.nasa.gov/pub/adc/archives/catalogs/5/5050.
# 
# Only those entries with a Bayer and/or Flamsteed number are retained
# here.
# 
# Format: Constellation BayerN-Flamsteed, as available. Bayer is
#   truncated as requried to enforce a maximum total length of 13
#   imposed within xephem.
# 
# Common names were then overlayed by closest position match from
# hand-edited a list supplied by Robert Tidd (inp@violet.berkeley.edu)
# and Alan Paeth (awpaeth@watcgl.waterloo.edu)
#
# --------------------------------------------------------------------------
#
# Data file format:
# 
# name,right ascention (radians),declination (radians),magnitude,spectral type
#
# --------------------------------------------------------------------------
#
# Sorted in ascending order of magnitude, so we can use a hack to improve
# performace a bit. Please, keep it sorted.
#
# --------------------------------------------------------------------------
# 
# Brightest star follows
Sirius,1.767793,-0.266754,-1.4,A1
Canopus,1.675305,-0.895427,-0.7,F0
Rigil Kentaurus,3.837972,-1.032619,0.0,G2
Arcturus,3.733528,0.334798,0.0,K1
Vega,4.873563,0.676902,0.1,A0
Rigel,1.372432,-0.136107,0.1,B8
Capella,1.381821,0.802818,0.1,G5
Procyon,2.004082,0.091193,0.4,F5
Achernar,0.426362,-0.990707,0.5,B3
Betelgeuse,1.549729,0.129276,0.5,M1
Hadar (Agena),3.681874,-1.040687,0.7,B1
Altair,5.195772,0.154782,0.8,A7
Aldebaran,1.203928,0.288139,0.9,K5
Spica,3.513319,-0.189169,1.0,B1
Antares,4.317101,-0.446247,1.0,M1
Pollux,2.030320,0.489148,1.1,K0
Deneb,5.416768,0.790290,1.2,A2
Fomalhaut,6.011139,-0.495286,1.2,A3
Mimosa,3.349810,-1.017726,1.2,B0
Acrux,3.257650,-1.097827,1.4,B0
Regulus,2.654522,0.208867,1.4,B7
Rigil Kentaurus,3.837986,-1.032614,1.4,K1
Adara,1.826596,-0.471724,1.5,B2
Bellatrix,1.418655,0.110824,1.6,B2
Shaula,4.597234,-0.643959,1.6,B2
Alnath,1.423716,0.499295,1.6,B7
Cru Gamma,3.277576,-0.992860,1.6,M3
Car Beta,2.413790,-1.191759,1.7,A2
Alioth,3.377336,0.976681,1.8,A0
Alnilam,1.467007,-0.013929,1.8,B0
Acrux,3.257693,-1.097822,1.8,B1
Gru Alpha,5.795511,-0.786077,1.8,B7
Mirfak,0.891529,0.870241,1.8,F5
Dubhe,2.896061,1.077755,1.8,K0
Vel Gamma2,2.135992,-0.814429,1.8,WC
Gem Gamma-24,1.735345,0.286219,1.9,A0
Menkalinan,1.568738,0.784482,1.9,A2
Pav Alpha,5.347900,-0.964556,1.9,B2
Benetnasch,3.610824,0.860680,1.9,B3
Kaus Australis,4.817858,-0.586697,1.9,B9
Sco Theta,4.613429,-0.715624,1.9,F1
CMa Delta-25,1.869211,-0.446921,1.9,F8
TrA Alpha,4.401131,-1.203792,1.9,K2
Car Epsilon,2.192628,-1.020848,1.9,K3
Castor,1.983567,0.556556,2.0,A1
Vel Delta,2.289450,-0.930115,2.0,A1
Mirzam,1.669844,-0.280024,2.0,B1
Sgr Sigma-34,4.953528,-0.448608,2.0,B2
Polaris,0.662403,1.557954,2.0,F7
Diphda,0.190197,-0.279485,2.0,G9
Hamal,0.554898,0.409498,2.0,K2
Hya Alpha-30,2.476564,-0.128131,2.0,K3
Ori Zeta-50,1.486839,-0.000999,2.0,O9
Denebola,3.093858,0.254328,2.1,A3
Ras Alhague,4.603022,0.219213,2.1,A5
Ori Kappa-53,1.517375,-0.145391,2.1,B0
Algol,0.821039,0.714809,2.1,B8
Alpheratz,0.036601,0.507726,2.1,B8
Cen Theta-5,3.694353,-0.621861,2.1,K0
Kocab,3.886434,1.294259,2.1,K4
Mirach,0.304262,0.621696,2.1,M0
Gru Beta,5.945762,-0.787410,2.1,M5
Alphecca,4.078347,0.466260,2.2,A0
Cen Gamma,3.322743,-0.821008,2.2,A1
Car Iota,2.430764,-1.024940,2.2,A8
Cyg Gamma-37,5.332977,0.702611,2.2,F8
Schedar,0.176751,0.986761,2.2,K0
Vel Lambda,2.391087,-0.742943,2.2,K4
Rastaban,4.697583,0.898651,2.2,K5
Pup Zeta,2.110038,-0.698074,2.2,O5
Mintaka,1.448652,0.005221,2.2,O9
Mizar,3.507785,0.958627,2.3,A1
Cen Epsilon,3.577430,-0.916884,2.3,B1
Lup Alpha,3.848146,-0.813527,2.3,B1
Caph,0.040048,1.032357,2.3,F2
Sco Epsilo-26,4.407669,-0.588292,2.3,K2
And Gamma1-57,0.540616,0.738793,2.3,K3
Merak,2.887829,0.984060,2.4,A1
Sco Delta-7,4.190245,-0.373122,2.4,B0
Cen Eta,3.820118,-0.730285,2.4,B1
Phe Alpha,0.114683,-0.727696,2.4,K0
Eniph,5.690588,0.172351,2.4,K2
Phecda,3.114671,0.937150,2.5,A0
Oph Eta-35,4.495874,-0.249151,2.5,A2
Alderamin,5.578858,1.092324,2.5,A7
Cas Gamma-27,0.247437,1.059706,2.5,B0
Sco Kappa,4.635980,-0.680155,2.5,B1
Cen Zeta,3.645731,-0.815272,2.5,B2
Vel Kappa,2.452682,-0.959742,2.5,B2
CMa Eta-31,1.937730,-0.500856,2.5,B5
